,Symbol,Name,Industry,IndustryCode
0,UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020
1,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,반도체 및 반도체 장비,571010
2,V,Visa Inc Class A,소프트웨어 및 IT서비스,572010
3,JNJ,Johnson & Johnson,제약,562010
4,BRK.B,Berkshire Hathaway Inc Class B,복합 기업,544010
5,XOM,Exxon Mobil Corp,오일 및 가스,501020
6,WMT,Walmart Inc,식품 및 약품소매,543010
7,PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010
8,JPM,JPMorgan Chase & Co,은행,551010
9,MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010
10,HD,Home Depot Inc,전문품 상점,534030
11,CVX,Chevron Corp,오일 및 가스,501020
12,LLY,Eli Lilly and Co,제약,562010
13,BAC,Bank of America Corp,은행,551010
14,KO,Coca-Cola Co,음료,541010
15,BRK.A,Berkshire Hathaway Inc Class A,복합 기업,544010
16,PFE,Pfizer Inc,제약,562010
17,ABBV,Abbvie Inc,제약,562010
18,BABA,Alibaba Group Holding Ltd ADR,소프트웨어 및 IT서비스,572010
19,TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010
20,MRK,Merck & Co Inc,제약,562010
21,DIS,Walt Disney Co,미디어 및 출판,533020
22,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,531010
23,DHR,Danaher Corp,헬스케어 장비 및 용품,561010
24,ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010
25,ACN,Accenture PLC Class A,소프트웨어 및 IT서비스,572010
26,MCD,McDonald's Corp,호텔 및 엔터테인먼트,533010
27,SHEL,Shell PLC ADR,오일 및 가스,501020
28,ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010
29,CRM,Salesforce Inc,소프트웨어 및 IT서비스,572010
30,VZ,Verizon Communications Inc,통신 서비스,574010
31,NVS,Novartis AG ADR,제약,562010
32,NKE,Nike Inc Class B,섬유 및 의류,532020
33,UPS,United Parcel Service Inc Class B,화물 및 물류 서비스,524050
34,NVO,Novo Nordisk A/S ADR,제약,562010
35,NEE,Nextera Energy Inc,전기 유틸리티,591010
36,WFC,Wells Fargo & Co,은행,551010
37,BMY,Bristol-Myers Squibb Co,제약,562010
38,MS,Morgan Stanley,투자은행 및 서비스,551020
39,PM,Philip Morris International Inc,식품 및 담배,541020
40,LIN,Linde PLC,화학,511010
41,UNP,Union Pacific Corp,화물 및 물류 서비스,524050
42,BHP,BHP Group Ltd ADR,메탈&마이닝,512010
43,SCHW,Charles Schwab Corp,투자은행 및 서비스,551020
44,RY,Royal Bank of Canada,은행,551010
45,RTX,Raytheon Technologies Corp,우주항공 및 국방,521010
46,TTE,TotalEnergies SE ADR,오일 및 가스,501020
47,LOW,Lowe's Companies Inc,전문품 상점,534030
48,CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020
49,COP,Conocophillips,오일 및 가스,501020
50,T,AT&T Inc,통신 서비스,574010
51,BX,Blackstone Inc,투자은행 및 서비스,551020
52,HSBC,HSBC Holdings PLC ADR,은행,551010
53,SPGI,S&P Global Inc,전문 및 상업 서비스,522030
54,AMT,American Tower Corp,주택 및 상업용 리츠,601020
55,MDT,Medtronic PLC,헬스케어 장비 및 용품,561010
56,IBM,International Business Machines Corp,소프트웨어 및 IT서비스,572010
57,TD,Toronto-Dominion Bank,은행,551010
58,AXP,American Express Co,은행,551010
59,EQNR,Equinor ASA ADR,오일 및 가스,501020
60,GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020
61,UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010
62,HDB,HDFC Bank Ltd ADR,은행,551010
63,ELV,Elevance Health Inc,헬스케어 업체 및 서비스,561020
64,LMT,Lockheed Martin Corp,우주항공 및 국방,521010
65,DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020
66,BLK,BlackRock Inc,투자은행 및 서비스,551020
67,SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010
68,DEO,Diageo PLC ADR,음료,541010
69,SONY,Sony Group Corp ADR,"컴퓨터, 전화 및 가전제품",571060
70,CAT,Caterpillar Inc,"건설장비 및 대형차, 기차, 배",521020
71,C,Citigroup Inc,은행,551010
72,PLD,Prologis Inc,주택 및 상업용 리츠,601020
73,EL,Estee Lauder Companies Inc Class A,"개인, 가정 용품 및 서비스",542010
74,BP,BP PLC ADR,오일 및 가스,501020
75,BA,Boeing Co,우주항공 및 국방,521010
76,NOW,ServiceNow Inc,소프트웨어 및 IT서비스,572010
77,BTI,British American Tobacco PLC ADR,식품 및 담배,541020
78,BUD,Anheuser-Busch Inbev SA ADR,음료,541010
79,UN,Unilever NV ADR,"개인, 가정 용품 및 서비스",542010
80,CI,Cigna Corp,헬스케어 업체 및 서비스,561020
81,CNI,Canadian National Railway Co,화물 및 물류 서비스,524050
82,ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030
83,GE,General Electric Co,복합 기업,544010
84,DUK,Duke Energy Corp,전기 유틸리티,591010
85,MMC,Marsh & McLennan Companies Inc,보험,553010
86,SO,Southern Co,전기 유틸리티,591010
87,CB,Chubb Ltd,보험,553010
88,INFY,Infosys Ltd ADR,소프트웨어 및 IT서비스,572010
89,SYK,Stryker Corp,헬스케어 장비 및 용품,561010
90,MMM,3M Co,복합 기업,544010
91,MO,Altria Group Inc,식품 및 담배,541020
92,BAM,Brookfield Asset Management Inc Class A,투자은행 및 서비스,551020
93,TJX,TJX Companies Inc,다양한 소매업,534020
94,ZTS,Zoetis Inc Class A,제약,562010
95,TGT,Target Corp,다양한 소매업,534020
96,CCI,Crown Castle Inc,주택 및 상업용 리츠,601020
97,IBN,ICICI Bank Ltd ADR,은행,551010
98,CP,Canadian Pacific Railway Ltd,화물 및 물류 서비스,524050
99,NOC,Northrop Grumman Corp,우주항공 및 국방,521010
100,BNS,Bank of Nova Scotia,은행,551010
101,RIO,Rio Tinto PLC ADR,메탈&마이닝,512010
102,BDX,Becton Dickinson and Co,헬스케어 장비 및 용품,561010
103,PGR,Progressive Corp,보험,553010
104,USB,US Bancorp,은행,551010
105,WM,Waste Management Inc,전문 및 상업 서비스,522030
106,D,Dominion Energy Inc,전기 유틸리티,591010
107,PNC,PNC Financial Services Group Inc,은행,551010
108,BMO,Bank of Montreal,은행,551010
109,EOG,EOG Resources Inc,오일 및 가스,501020
110,GSK,GSK plc ADR,제약,562010
111,BBL,BHP Group PLC ADR,메탈&마이닝,512010
112,CL,Colgate-Palmolive Co,"개인, 가정 용품 및 서비스",542010
113,TFC,Truist Financial Corp,은행,551010
114,ITW,Illinois Tool Works Inc,복합 기업,544010
115,MUFG,Mitsubishi UFJ Financial Group Inc ADR,은행,551010
116,GD,General Dynamics Corp,우주항공 및 국방,521010
117,F,Ford Motor Co,자동차 및 자동차 부품,531010
118,SHW,Sherwin-Williams Co,화학,511010
119,AON,Aon PLC Class A,보험,553010
120,ICE,Intercontinental Exchange Inc,투자은행 및 서비스,551020
121,CNQ,Canadian Natural Resources Ltd,오일 및 가스,501020
122,HUM,Humana Inc,헬스케어 업체 및 서비스,561020
123,PSA,Public Storage,주택 및 상업용 리츠,601020
124,HCA,HCA Healthcare Inc,헬스케어 업체 및 서비스,561020
125,EW,Edwards Lifesciences Corp,헬스케어 장비 및 용품,561010
126,ETN,Eaton Corporation PLC,"건설장비 및 대형차, 기차, 배",521020
127,FDX,FedEx Corp,화물 및 물류 서비스,524050
128,BSX,Boston Scientific Corp,헬스케어 장비 및 용품,561010
129,FIS,Fidelity National Information Services Inc,핀테크,573010
130,NSC,Norfolk Southern Corp,화물 및 물류 서비스,524050
131,OXY,Occidental Petroleum Corp,오일 및 가스,501020
132,VALE,Vale SA ADR,메탈&마이닝,512010
133,UBER,Uber Technologies Inc,소프트웨어 및 IT서비스,572010
134,EPD,Enterprise Products Partners Units,오일 및 가스 장비 및 서비스,501030
135,UBS,UBS Group AG,투자은행 및 서비스,551020
136,APD,Air Products and Chemicals Inc,화학,511010
137,MCO,Moody's Corp,전문 및 상업 서비스,522030
138,DG,Dollar General Corp,다양한 소매업,534020
139,PXD,Pioneer Natural Resources Co,오일 및 가스,501020
140,ABB,Abb Ltd ADR,"건설장비 및 대형차, 기차, 배",521020
141,GM,General Motors Co,자동차 및 자동차 부품,531010
142,TRI,Thomson Reuters Corp,전문 및 상업 서비스,522030
143,RELX,Relx PLC ADR,전문 및 상업 서비스,522030
144,CNC,Centene Corp,헬스케어 업체 및 서비스,561020
145,MET,MetLife Inc,보험,553010
146,SRE,Sempra Energy,복합 유틸리티,591040
147,EMR,Emerson Electric Co,"건설장비 및 대형차, 기차, 배",521020
148,MCK,Mckesson Corp,식품 및 약품소매,543010
149,PBR,Petroleo Brasileiro SA Petrobras ADR,오일 및 가스,501020
150,SLB,Schlumberger NV,오일 및 가스 장비 및 서비스,501030
151,NGG,National Grid PLC ADR,복합 유틸리티,591040
152,VMW,VMware Inc Class A,소프트웨어 및 IT서비스,572010
153,SNOW,Snowflake Inc. Class A,소프트웨어 및 IT서비스,572010
154,MPC,Marathon Petroleum Corp,오일 및 가스,501020
155,ECL,Ecolab Inc,화학,511010
156,NTR,Nutrien Ltd,화학,511010
157,ADM,Archer-Daniels-Midland Co,식품 및 담배,541020
158,TRP,TC Energy Corp,오일 및 가스 장비 및 서비스,501030
159,KKR,KKR & Co Inc,투자은행 및 서비스,551020
160,CM,Canadian Imperial Bank of Commerce,은행,551010
161,ABEV,Ambev SA ADR,음료,541010
162,APH,Amphenol Corp Class A,전자 장비 및 부품,571040
163,CMG,Chipotle Mexican Grill Inc,호텔 및 엔터테인먼트,533010
164,STLA,Stellantis NV,자동차 및 자동차 부품,531010
165,HSY,Hershey Co,식품 및 담배,541020
166,SQ,Block Inc Class A,전문 및 상업 서비스,522030
167,VLO,Valero Energy Corp,오일 및 가스,501020
168,SHOP,Shopify Inc Class A,소프트웨어 및 IT서비스,572010
169,RSG,Republic Services Inc,전문 및 상업 서비스,522030
170,HMC,Honda Motor Co Ltd ADR,자동차 및 자동차 부품,531010
171,KMB,Kimberly-Clark Corp,"개인, 가정 용품 및 서비스",542010
172,GIS,General Mills Inc,식품 및 담배,541020
173,BCE,BCE Inc,통신 서비스,574010
174,ROP,Roper Technologies Inc,소프트웨어 및 IT서비스,572010
175,LHX,L3harris Technologies Inc,우주항공 및 국방,521010
176,AZO,Autozone Inc,전문품 상점,534030
177,O,Realty Income Corp,주택 및 상업용 리츠,601020
178,SU,Suncor Energy Inc,오일 및 가스,501020
179,TAK,Takeda Pharmaceutical Co Ltd ADR,제약,562010
180,CTVA,Corteva Inc,식품 및 담배,541020
181,FCX,Freeport-McMoRan Inc,메탈&마이닝,512010
182,IQV,IQVIA Holdings Inc,생명과학 및 메디컬 리서치,562020
183,DVN,Devon Energy Corp,오일 및 가스,501020
184,SAN,Banco Santander SA ADR,은행,551010
185,SYY,Sysco Corp,식품 및 약품소매,543010
186,TEL,TE Connectivity Ltd,"건설장비 및 대형차, 기차, 배",521020
187,COF,Capital One Financial Corp,은행,551010
188,AIG,American International Group Inc,보험,553010
189,WDS,Woodside Energy Group Ltd ADR,오일 및 가스,501020
190,WMB,Williams Companies Inc,오일 및 가스 장비 및 서비스,501030
191,KMI,Kinder Morgan Inc,오일 및 가스 장비 및 서비스,501030
192,MSI,Motorola Solutions Inc,커뮤니케이션 및 네트워킹,571020
193,PSX,Phillips 66,오일 및 가스,501020
194,E,Eni SpA ADR,오일 및 가스,501020
195,SMFG,Sumitomo Mitsui Financial Group Inc ADR,은행,551010
196,A,Agilent Technologies Inc,헬스케어 장비 및 용품,561010
197,TRV,Travelers Companies Inc,보험,553010
198,RACE,Ferrari NV,자동차 및 자동차 부품,531010
199,AFL,Aflac Inc,보험,553010
200,JCI,Johnson Controls International PLC,"건설장비 및 대형차, 기차, 배",521020
201,AMX,America Movil SAB de CV ADR Series L,통신 서비스,574010
202,ANET,Arista Networks Inc,커뮤니케이션 및 네트워킹,571020
203,AJG,Arthur J. Gallagher & Co.,보험,553010
204,MSCI,MSCI Inc,전문 및 상업 서비스,522030
205,DOW,Dow Inc,화학,511010
206,STZ,Constellation Brands Inc Class A,음료,541010
207,PRU,Prudential Financial Inc,보험,553010
208,SE,Sea Ltd ADR Class A,소프트웨어 및 IT서비스,572010
209,TT,Trane Technologies PLC,"건설장비 및 대형차, 기차, 배",521020
210,PH,Parker-Hannifin Corp,"건설장비 및 대형차, 기차, 배",521020
211,SCCO,Southern Copper Corp,메탈&마이닝,512010
212,HLT,Hilton Worldwide Holdings Inc,호텔 및 엔터테인먼트,533010
213,DLR,Digital Realty Trust Inc,주택 및 상업용 리츠,601020
214,NUE,Nucor Corp,메탈&마이닝,512010
215,LYG,Lloyds Banking Group PLC ADR,은행,551010
216,CARR,Carrier Global Corp,"건설장비 및 대형차, 기차, 배",521020
217,GPN,Global Payments Inc,전문 및 상업 서비스,522030
218,SPG,Simon Property Group Inc,주택 및 상업용 리츠,601020
219,WELL,Welltower OP LLC,주택 및 상업용 리츠,601020
220,ET,Energy Transfer Units,오일 및 가스 장비 및 서비스,501030
221,CVE,Cenovus Energy Inc,오일 및 가스,501020
222,WCN,Waste Connections Inc,전문 및 상업 서비스,522030
223,HPQ,HP Inc,"컴퓨터, 전화 및 가전제품",571060
224,HES,Hess Corp,오일 및 가스,501020
225,DELL,Dell Technologies Inc Class C,"컴퓨터, 전화 및 가전제품",571060
226,BK,Bank of New York Mellon Corp,투자은행 및 서비스,551020
227,PBR.A,Petroleo Brasileiro SA Petrobras ADR,오일 및 가스,501020
228,ALL,Allstate Corp,보험,553010
229,MFC,Manulife Financial Corp,보험,553010
230,ED,Consolidated Edison Inc,전기 유틸리티,591010
231,TDG,TransDigm Group Inc,우주항공 및 국방,521010
232,KR,Kroger Co,식품 및 약품소매,543010
233,NEM,Newmont Corporation,메탈&마이닝,512010
234,ING,ING Groep NV ADR,은행,551010
235,BSMX,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero,은행,551010
236,HKD,AMTD Digital Inc ADR Class A,소프트웨어 및 IT서비스,572010
237,VEEV,Veeva Systems Inc Class A,헬스케어 장비 및 용품,561010
238,PEG,Public Service Enterprise Group Inc,복합 유틸리티,591040
239,RMD,Resmed Inc,헬스케어 장비 및 용품,561010
240,ALC,Alcon AG,헬스케어 장비 및 용품,561010
241,STM,STMicroelectronics NV ADR,반도체 및 반도체 장비,571010
242,APO,Apollo Global Management Inc,투자은행 및 서비스,551020
243,WEC,WEC Energy Group Inc,전기 유틸리티,591010
244,OTIS,Otis Worldwide Corp,"건설장비 및 대형차, 기차, 배",521020
245,VICI,VICI Properties Inc,주택 및 상업용 리츠,601020
246,MTB,M&T Bank Corp,은행,551010
247,TWTR,Twitter Inc,소프트웨어 및 IT서비스,572010
248,YUM,Yum! Brands Inc,호텔 및 엔터테인먼트,533010
249,NI PR B,Nisource Depository Shares Representing 1/1000 Perpetual Pref Shs Series B,복합 유틸리티,591040
250,NWG,Natwest Group PLC ADR,은행,551010
251,MPLX,MPLX Common Units,오일 및 가스 장비 및 서비스,501030
252,NIO,NIO Inc ADR Class A,자동차 및 자동차 부품,531010
253,BCS,Barclays PLC ADR,은행,551010
254,ALB,Albemarle Corp,화학,511010
255,ES,Eversource Energy,전기 유틸리티,591010
256,CMI,Cummins Inc,자동차 및 자동차 부품,531010
257,TU,Telus Corp,통신 서비스,574010
258,KEYS,Keysight Technologies Inc,"건설장비 및 대형차, 기차, 배",521020
259,PUK,Prudential PLC ADR,보험,553010
260,CHT,Chunghwa Telecom Co Ltd ADR,통신 서비스,574010
261,AMP,Ameriprise Financial Inc,투자은행 및 서비스,551020
262,PPG,PPG Industries Inc,화학,511010
263,CPNG,Coupang Inc Class A,다양한 소매업,534020
264,GLW,Corning Inc,전자 장비 및 부품,571040
265,IFF,International Flavors & Fragrances Inc,식품 및 담배,541020
266,ABC,Amerisourcebergen Corp,헬스케어 장비 및 용품,561010
267,DD,Dupont De Nemours Inc,화학,511010
268,BAX,Baxter International Inc,헬스케어 장비 및 용품,561010
269,MTD,Mettler-Toledo International Inc,사무기기,571050
270,BBVA,Banco Bilbao Vizcaya Argentaria SA ADR,은행,551010
271,TLK,Telkom Indonesia (Persero) Tbk PT ADR Series B,통신 서비스,574010
272,FRC,First Republic Bank,은행,551010
273,AVB,Avalonbay Communities Inc,주택 및 상업용 리츠,601020
274,PCG,PG&E Corp,전기 유틸리티,591010
275,MFG,Mizuho Financial Group Inc ADR,은행,551010
276,CRH,CRH PLC ADR,건축 자재,512020
277,AME,AMETEK Inc,"건설장비 및 대형차, 기차, 배",521020
278,GWW,WW Grainger Inc,"건설장비 및 대형차, 기차, 배",521020
279,EQR,Equity Residential,주택 및 상업용 리츠,601020
280,LYB,LyondellBasell Industries NV Class A,화학,511010
281,WIT,Wipro Ltd ADR,소프트웨어 및 IT서비스,572010
282,DFS,Discover Financial Services,은행,551010
283,ROK,Rockwell Automation Inc,"건설장비 및 대형차, 기차, 배",521020
284,TSN,Tyson Foods Inc Class A,식품 및 담배,541020
285,GOLD,Barrick Gold Corp,메탈&마이닝,512010
286,APTV,Aptiv PLC,자동차 및 자동차 부품,531010
287,AWK,American Water Works Company Inc,수도 유틸리티,591030
288,LVS,Las Vegas Sands Corp,호텔 및 엔터테인먼트,533010
289,NOK,Nokia Oyj ADR Series A,커뮤니케이션 및 네트워킹,571020
290,OKE,ONEOK Inc,오일 및 가스 장비 및 서비스,501030
291,EXR,Extra Space Storage Inc,주택 및 상업용 리츠,601020
292,SLF,Sun Life Financial Inc,보험,553010
293,HLN,HALEON PLC ADR,제약,562010
294,HRL,Hormel Foods Corp,식품 및 담배,541020
295,CBRE,CBRE Group Inc Class A,부동산 운영 관리,601010
296,ORAN,Orange SA ADR,통신 서비스,574010
297,EIX,Edison International,전기 유틸리티,591010
298,BIP,Brookfield Infrastructure Partners Units,복합 기업,544010
299,STT,State Street Corp,투자은행 및 서비스,551020
300,WY,Weyerhaeuser Co,주택 및 상업용 리츠,601020
301,ARE,Alexandria Real Estate Equities Inc,주택 및 상업용 리츠,601020
302,HAL,Halliburton Co,오일 및 가스 장비 및 서비스,501030
303,RBLX,Roblox Corp Class A,소프트웨어 및 IT서비스,572010
304,FERG,Ferguson PLC,주택건설,532030
305,DHI,D R Horton Inc,주택건설,532030
306,CAJ,Canon Inc ADR,사무기기,571050
307,DTE,DTE Energy Co,전기 유틸리티,591010
308,EFX,Equifax Inc,전문 및 상업 서비스,522030
309,K,Kellogg Co,식품 및 담배,541020
310,EPAM,Epam Systems Inc,소프트웨어 및 IT서비스,572010
311,DASH,DoorDash Inc Class A,소프트웨어 및 IT서비스,572010
312,CLR,Continental Resources Inc,오일 및 가스,501020
313,AEE,Ameren Corp,복합 유틸리티,591040
314,ITUB,Itau Unibanco Holding SA ADR,은행,551010
315,FNV,Franco-Nevada Corp,메탈&마이닝,512010
316,IT,Gartner Inc,소프트웨어 및 IT서비스,572010
317,DRE,Duke Realty Corp,주택 및 상업용 리츠,601020
318,ETR,Entergy Corp,전기 유틸리티,591010
319,CTRA,Coterra Energy Inc,오일 및 가스,501020
320,TEF,Telefonica SA ADR,통신 서비스,574010
321,FTV,Fortive Corp,"건설장비 및 대형차, 기차, 배",521020
322,BF.B,Brown-Forman Corp Class B,음료,541010
323,ZBH,Zimmer Biomet Holdings Inc,헬스케어 장비 및 용품,561010
324,RJF,Raymond James Financial Inc,투자은행 및 서비스,551020
325,NET,Cloudflare Inc Class A,소프트웨어 및 IT서비스,572010
326,WST,West Pharmaceutical Services Inc,헬스케어 장비 및 용품,561010
327,INVH,Invitation Homes Inc,주택 및 상업용 리츠,601020
328,VMC,Vulcan Materials Co,건축 자재,512020
329,FE,FirstEnergy Corp,전기 유틸리티,591010
330,NU,Nu Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
331,PAYC,Paycom Software Inc,소프트웨어 및 IT서비스,572010
332,LUV,Southwest Airlines Co,운송업,524060
333,MKC,McCormick & Company Inc,식품 및 담배,541020
334,MLM,Martin Marietta Materials Inc,건축 자재,512020
335,PPL,PPL Corp,복합 유틸리티,591040
336,LH,Laboratory Corporation of America Holdings,헬스케어 업체 및 서비스,561020
337,GPC,Genuine Parts Co,자동차 및 자동차 부품,531010
338,URI,United Rentals Inc,전문 및 상업 서비스,522030
339,HIG,Hartford Financial Services Group Inc,보험,553010
340,ARES,Ares Management Corp Class A,투자은행 및 서비스,551020
341,BSBR,Banco Santander Brasil SA ADR,은행,551010
342,FTS,Fortis Inc,전기 유틸리티,591010
343,LYV,Live Nation Entertainment Inc,미디어 및 출판,533020
344,DAL,Delta Air Lines Inc,운송업,524060
345,SPOT,Spotify Technology SA,소프트웨어 및 IT서비스,572010
346,LEN,Lennar Corp Class A,주택건설,532030
347,EC,Ecopetrol SA ADR,오일 및 가스,501020
348,ZTO,ZTO Express (Cayman) Inc ADR Class A,화물 및 물류 서비스,524050
349,CHD,Church & Dwight Co Inc,"개인, 가정 용품 및 서비스",542010
350,RF,Regions Financial Corp,은행,551010
351,MAA,Mid-America Apartment Communities Inc,주택 및 상업용 리츠,601020
352,STE,STERIS plc,헬스케어 장비 및 용품,561010
353,IR,Ingersoll Rand Inc,"건설장비 및 대형차, 기차, 배",521020
354,PBA,Pembina Pipeline Corp,오일 및 가스 장비 및 서비스,501030
355,MT,ArcelorMittal SA ADR,메탈&마이닝,512010
356,SUI,Sun Communities Inc,주택 및 상업용 리츠,601020
357,BR,Broadridge Financial Solutions Inc,전문 및 상업 서비스,522030
358,SNAP,Snap Inc Class A,소프트웨어 및 IT서비스,572010
359,PWR,Quanta Services Inc,건설 및 엔지니어링,522010
360,RKT,Rocket Companies Inc Class A,은행,551010
361,CNP,CenterPoint Energy Inc,복합 유틸리티,591040
362,CMS,CMS Energy Corp,복합 유틸리티,591040
363,CF,CF Industries Holdings Inc,화학,511010
364,TTM,Tata Motors Ltd ADR,자동차 및 자동차 부품,531010
365,BBD,Banco Bradesco SA ADR,은행,551010
366,BEKE,Ke Holdings Inc ADR Class A,부동산 운영 관리,601010
367,DOV,Dover Corp,"건설장비 및 대형차, 기차, 배",521020
368,AEM,Agnico Eagle Mines Ltd,메탈&마이닝,512010
369,WF,Woori Financial Group Inc ADR,은행,551010
370,UI,Ubiquiti Inc,커뮤니케이션 및 네트워킹,571020
371,IX,ORIX Corp ADR,은행,551010
372,AGR,Avangrid Inc,전기 유틸리티,591010
373,WAT,Waters Corp,헬스케어 장비 및 용품,561010
374,HPE,Hewlett Packard Enterprise Co,"컴퓨터, 전화 및 가전제품",571060
375,CFG,Citizens Financial Group Inc,은행,551010
376,YUMC,Yum China Holdings Inc,호텔 및 엔터테인먼트,533010
377,VTR,Ventas Inc,주택 및 상업용 리츠,601020
378,BALL,Ball Corp,용기 및 포장,513020
379,CHWY,Chewy Inc Class A,전문품 상점,534030
380,BRO,Brown & Brown Inc,보험,553010
381,GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020
382,MOH,Molina Healthcare Inc,헬스케어 업체 및 서비스,561020
383,ESS,Essex Property Trust Inc,주택 및 상업용 리츠,601020
384,CTLT,Catalent Inc,제약,562010
385,AMCR,Amcor PLC,용기 및 포장,513020
386,TDY,Teledyne Technologies Inc,전자 장비 및 부품,571040
387,MOS,Mosaic Co,화학,511010
388,PLTR,Palantir Technologies Inc Class A,소프트웨어 및 IT서비스,572010
389,CAH,Cardinal Health Inc,식품 및 약품소매,543010
390,PKI,PerkinElmer Inc,헬스케어 장비 및 용품,561010
391,BBY,Best Buy Co Inc,전문품 상점,534030
392,DB,Deutsche Bank AG,은행,551010
393,XYL,Xylem Inc,"건설장비 및 대형차, 기차, 배",521020
394,WPC,WP Carey Inc,주택 및 상업용 리츠,601020
395,TECK,Teck Resources Ltd Class B,메탈&마이닝,512010
396,EBR,Brazilian Electric Power Co ADR,전기 유틸리티,591010
397,KEY,KeyCorp,은행,551010
398,CLX,Clorox Co,"개인, 가정 용품 및 서비스",542010
399,ROL,Rollins Inc,전문 및 상업 서비스,522030
400,QSR,Restaurant Brands International Inc,호텔 및 엔터테인먼트,533010
401,AVTR,Avantor Inc,헬스케어 장비 및 용품,561010
402,MGA,Magna International Inc,자동차 및 자동차 부품,531010
403,GIB,CGI Inc Class A,소프트웨어 및 IT서비스,572010
404,VFC,VF Corp,섬유 및 의류,532020
405,WRB,W R Berkley Corp,보험,553010
406,RCI,Rogers Communications Inc Class B,통신 서비스,574010
407,EQT,EQT Corp,오일 및 가스,501020
408,UMC,United Microelectronics Corp ADR,반도체 및 반도체 장비,571010
409,FLT,Fleetcor Technologies Inc,전문 및 상업 서비스,522030
410,CNHI,CNH Industrial NV,"건설장비 및 대형차, 기차, 배",521020
411,HUBS,HubSpot Inc,소프트웨어 및 IT서비스,572010
412,AES,AES Corp,전기 유틸리티,591010
413,OWL,Blue Owl Capital Inc Class A,투자은행 및 서비스,551020
414,FDS,Factset Research Systems Inc,전문 및 상업 서비스,522030
415,WAB,Westinghouse Air Brake Technologies Corp,"건설장비 및 대형차, 기차, 배",521020
416,J,Jacobs Engineering Group Inc,건설 및 엔지니어링,522010
417,GNRC,Generac Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
418,MKL,Markel Corp,보험,553010
419,SYF,Synchrony Financial,은행,551010
420,CAG,Conagra Brands Inc,식품 및 담배,541020
421,TYL,Tyler Technologies Inc,소프트웨어 및 IT서비스,572010
422,PKX,Posco Holdings Inc ADR,메탈&마이닝,512010
423,BBDO,Banco Bradesco SA ADR,은행,551010
424,PHG,Koninklijke Philips NV ADR,헬스케어 장비 및 용품,561010
425,MRO,Marathon Oil Corp,오일 및 가스,501020
426,IEX,IDEX Corp,"건설장비 및 대형차, 기차, 배",521020
427,ATO,Atmos Energy Corp,천연가스 유틸리티,591020
428,CSL,Carlisle Companies Inc,주택건설,532030
429,EVRG,Evergy Inc,전기 유틸리티,591010
430,DRI,Darden Restaurants Inc,호텔 및 엔터테인먼트,533010
431,AVY,Avery Dennison Corp,용기 및 포장,513020
432,COO,Cooper Companies Inc,헬스케어 장비 및 용품,561010
433,UDR,UDR Inc,주택 및 상업용 리츠,601020
434,IRM,Iron Mountain Inc,주택 및 상업용 리츠,601020
435,IP,International Paper Co,용기 및 포장,513020
436,HWM,Howmet Aerospace Inc,우주항공 및 국방,521010
437,TS,Tenaris SA ADR,오일 및 가스 장비 및 서비스,501030
438,TRGP,Targa Resources Corp,오일 및 가스 장비 및 서비스,501030
439,DGX,Quest Diagnostics Inc,헬스케어 업체 및 서비스,561020
440,TRU,TransUnion,전문 및 상업 서비스,522030
441,KMX,Carmax Inc,전문품 상점,534030
442,BILL,Bill.com Holdings Inc,소프트웨어 및 IT서비스,572010
443,CPT,Camden Property Trust,주택 및 상업용 리츠,601020
444,BG,Bunge Ltd,식품 및 담배,541020
445,ACI,Albertsons Companies Inc Class A,식품 및 약품소매,543010
446,CPB,Campbell Soup Co,식품 및 담배,541020
447,U,Unity Software Inc,소프트웨어 및 IT서비스,572010
448,PINS,Pinterest Inc Class A,소프트웨어 및 IT서비스,572010
449,PEAK,Healthpeak Properties Inc,주택 및 상업용 리츠,601020
450,SWK,Stanley Black & Decker Inc,"건설장비 및 대형차, 기차, 배",521020
451,OMC,Omnicom Group Inc,미디어 및 출판,533020
452,DPZ,Domino's Pizza Inc,호텔 및 엔터테인먼트,533010
453,KB,KB Financial Group Inc ADR,은행,551010
454,SJM,J M Smucker Co,식품 및 담배,541020
455,ONON,On Holding AG Class A,섬유 및 의류,532020
456,TWLO,Twilio Inc Class A,소프트웨어 및 IT서비스,572010
457,WPM,Wheaton Precious Metals Corp,메탈&마이닝,512010
458,NVR,NVR Inc,주택건설,532030
